Timestamp,Gender,Programme,What would be your favorite scent to have on your freshly-washed clothes?,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","What would you want as a Loyalty Reward?
(Rewards for repeat-customers)","Would you like a subscription-based service?
[Benefits may include: Priority Queue, Wider Selection on ""Scent Customization"", etc.]"
29/10/2023 16:57:00,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
29/10/2023 16:57:50,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
29/10/2023 16:59:39,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
30/10/2023 09:01:59,Female,,,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",,
31/10/2023 07:21:26,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:26:57,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:29:32,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 07:34:01,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 07:34:22,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:34:46,Female,Foundation in Law (PI005/PI007),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 07:35:12,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 07:36:35,Male,Foundation in Law (PI005/PI007),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 08:02:08,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 10:36:33,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:51:33,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:56:23,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:58:24,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 11:00:48,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:00:11,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:02:45,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:48:14,Female,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:51:01,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:51:34,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:52:10,Female,Foundation in Law (PI005/PI007),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:55:33,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 13:11:48,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 13:12:42,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 13:15:50,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:22:53,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:24:46,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:25:38,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:28:36,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:33:51,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:37:06,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:38:25,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:39:20,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
31/10/2023 14:42:13,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:43:03,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:46:40,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:47:50,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:47:56,Male,Foundation in Science (PI080),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
31/10/2023 14:49:56,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:50:30,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:51:46,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:52:58,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:56:48,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,No
31/10/2023 14:57:39,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:57:59,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:59:15,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 15:04:42,Male,Foundation in Law (PI005/PI007),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 15:05:03,Male,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 15:18:10,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 15:23:21,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
,,,,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",,
31/10/2023 15:33:14,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 15:40:16,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 15:50:39,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 16:01:59,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 16:10:53,Male,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 16:18:40,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 16:20:50,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 16:40:29,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 18:09:57,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 18:52:41,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 19:35:09,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 19:49:17,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 20:21:24,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 20:22:29,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 20:27:42,Female,Foundation in TESL (PI020),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 20:48:13,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 21:02:24,Male,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 21:09:09,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,No
31/10/2023 21:33:15,Female,Foundation in TESL (PI020),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 21:59:58,Male,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 22:00:35,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 22:02:04,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
31/10/2023 22:02:34,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 22:43:57,Male,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 23:03:19,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 01:02:55,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 06:54:47,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 08:43:32,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,No
01/11/2023 09:02:33,Male,Foundation in Science (PI080),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 13:05:15,Female,Foundation in TESL (PI020),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 13:10:07,Female,Foundation in Law (PI005/PI007),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 15:22:01,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 15:22:26,Male,Foundation in Science (PI080),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
01/11/2023 15:23:18,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 15:46:38,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 18:15:59,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
01/11/2023 18:49:52,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 19:54:04,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
01/11/2023 20:10:50,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 22:48:31,Female,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 23:20:08,Male,Foundation in Law (PI005/PI007),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
01/11/2023 23:20:32,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
02/11/2023 07:01:31,Male,Foundation in Law (PI005/PI007),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
02/11/2023 07:59:09,Male,Foundation in Law (PI005/PI007),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
02/11/2023 09:18:57,Female,Foundation in Science (PI080),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
02/11/2023 09:57:06,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
02/11/2023 14:47:32,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
05/11/2023 14:06:33,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
05/11/2023 14:13:47,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
05/11/2023 14:18:35,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
05/11/2023 14:57:43,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
05/11/2023 17:37:50,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
05/11/2023 20:30:13,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
,,,,#NUM!,,
,,,,#N/A,,
,,,,0,,
,,,,#DIV/0!,,